年級,科目,教授,年份,類別,名稱,路徑
大一,物理(一),羅志偉,107學年,作業,ch20,大一/物理(一)/羅志偉/107學年/作業解答/ch20.pdf
大一,物理(一),羅志偉,107學年,作業,ch21,大一/物理(一)/羅志偉/107學年/作業解答/ch21.pdf
大一,物理(一),簡文彬,102學年,期中考,midterm1,大一/物理(一)/簡文彬/102學年/midterm1.zip
大一,物理(一),簡文彬,102學年,期中考,midterm2,大一/物理(一)/簡文彬/102學年/midterm2.zip
大一,物理(一),簡文彬,102學年,期末考,final,大一/物理(一)/簡文彬/102學年/final.zip
大一,物理(一),簡文彬,106學年,期末考,final,大一/物理(一)/簡文彬/106學年/2017Summer-Final.pdf
大一,物理(一),簡文彬,109學年,期中考,midterm1,大一/物理(一)/簡文彬/109學年/midterm1.zip
大一,物理(一),簡文彬,109學年,期中考,midterm2,大一/物理(一)/簡文彬/109學年/midterm2.zip
大一,物理(一),簡文彬,nan,講義,lec1,大一/物理(一)/簡文彬/投影片/Lecture01.pdf
大一,物理(一),簡文彬,nan,講義,lec2,大一/物理(一)/簡文彬/投影片/Lecture02.pdf
大一,物理(一),簡文彬,nan,講義,lec3,大一/物理(一)/簡文彬/投影片/Lecture03.pdf
大一,物理(一),簡文彬,nan,講義,lec4,大一/物理(一)/簡文彬/投影片/Lecture04.pdf
大一,物理(一),簡文彬,nan,講義,lec5,大一/物理(一)/簡文彬/投影片/Lecture05.pdf
大一,物理(一),簡文彬,nan,講義,lec6,大一/物理(一)/簡文彬/投影片/Lecture06.pdf
大一,物理(一),簡文彬,nan,講義,lec7,大一/物理(一)/簡文彬/投影片/Lecture07.pdf
大一,物理(一),簡文彬,nan,講義,lec8,大一/物理(一)/簡文彬/投影片/Lecture08.pdf
大一,物理(一),簡文彬,nan,講義,lec9,大一/物理(一)/簡文彬/投影片/Lecture09.pdf
大一,物理(一),簡文彬,nan,講義,lec10,大一/物理(一)/簡文彬/投影片/Lecture10.pdf
大一,物理(一),簡文彬,nan,講義,lec11,大一/物理(一)/簡文彬/投影片/Lecture11.pdf
大一,物理(一),簡文彬,nan,講義,lec12,大一/物理(一)/簡文彬/投影片/Lecture12.pdf
大一,物理(一),簡文彬,nan,講義,lec14,大一/物理(一)/簡文彬/投影片/Lecture14.pdf
大一,物理(一),簡文彬,nan,講義,lec15,大一/物理(一)/簡文彬/投影片/Lecture15.pdf
大一,物理(一),簡文彬,nan,講義,lec16,大一/物理(一)/簡文彬/投影片/Lecture16.pdf
大一,物理(一),簡文彬,nan,講義,lec17,大一/物理(一)/簡文彬/投影片/Lecture17.pdf
大一,物理(一),簡文彬,nan,講義,lec18,大一/物理(一)/簡文彬/投影片/Lecture18.pdf
大一,物理(一),簡文彬,nan,講義,lec19,大一/物理(一)/簡文彬/投影片/Lecture19.pdf
大一,物理(一),簡文彬,nan,講義,lec20,大一/物理(一)/簡文彬/投影片/Lecture20.pdf
大一,物理(一),簡文彬,nan,講義,lec21,大一/物理(一)/簡文彬/投影片/Lecture21.pdf
大一,物理(一),簡文彬,nan,講義,lec22,大一/物理(一)/簡文彬/投影片/Lecture22.pdf
大一,物理(一),簡文彬,nan,講義,lec23,大一/物理(一)/簡文彬/投影片/Lecture23.pdf
大一,物理(一),簡文彬,nan,講義,lec24,大一/物理(一)/簡文彬/投影片/Lecture24.pdf
大一,物理(一),簡文彬,nan,講義,lec25,大一/物理(一)/簡文彬/投影片/Lecture25.pdf
大一,物理(一),簡文彬,nan,講義,lec26,大一/物理(一)/簡文彬/投影片/Lecture26.pdf
大一,物理(一),簡文彬,nan,講義,lec27,大一/物理(一)/簡文彬/投影片/Lecture27.pdf
大一,物理(一),簡文彬,nan,講義,lec28,大一/物理(一)/簡文彬/投影片/Lecture28.pdf
大一,物理(一),簡文彬,nan,講義,lec29,大一/物理(一)/簡文彬/投影片/Lecture29.pdf
大一,物理(一),簡文彬,nan,講義,lec30,大一/物理(一)/簡文彬/投影片/Lecture30.pdf
大一,物理(一),簡文彬,nan,講義,lec31,大一/物理(一)/簡文彬/投影片/Lecture31.pdf
大一,物理(一),簡文彬,nan,講義,lec32,大一/物理(一)/簡文彬/投影片/Lecture32.pdf
大一,物理(一),簡文彬,nan,講義,lec33,大一/物理(一)/簡文彬/投影片/Lecture33.pdf
大一,物理(一),簡文彬,nan,講義,lec34,大一/物理(一)/簡文彬/投影片/Lecture34.pdf
