科目,教授,年份,類別,類型,名稱,路徑
自動控制,吳炳飛,109學年,作業,pdf,homework4,大三以上選修/自動控制/吳炳飛/2020_Fall/4.pdf
自動控制,吳炳飛,109學年,作業,pdf,homework5,大三以上選修/自動控制/吳炳飛/2020_Fall/5.pdf
自動控制,吳炳飛,109學年,作業,pdf,homework1_ans,大三以上選修/自動控制/吳炳飛/2020_Fall/1-ans.pdf
自動控制,吳炳飛,109學年,作業,pdf,homework2_ans,大三以上選修/自動控制/吳炳飛/2020_Fall/2-ans.pdf
自動控制,吳炳飛,109學年,作業,pdf,homework3_ans,大三以上選修/自動控制/吳炳飛/2020_Fall/3-ans.pdf
自動控制,吳炳飛,109學年,作業,pdf,homework4_ans,大三以上選修/自動控制/吳炳飛/2020_Fall/4-ans.pdf
自動控制,吳炳飛,109學年,小考,pdf,quiz1,大三以上選修/自動控制/吳炳飛/2020_Fall/quiz1.pdf
自動控制,吳炳飛,109學年,小考,pdf,quiz2,大三以上選修/自動控制/吳炳飛/2020_Fall/quiz2.pdf
自動控制,吳炳飛,109學年,小考,pdf,quiz3,大三以上選修/自動控制/吳炳飛/2020_Fall/quiz3.pdf
自動控制,吳炳飛,109學年,小考,pdf,quiz4,大三以上選修/自動控制/吳炳飛/2020_Fall/quiz4.pdf
自動控制,吳炳飛,109學年,小考,pdf,quiz5,大三以上選修/自動控制/吳炳飛/2020_Fall/quiz5.pdf
自動控制,吳炳飛,109學年,小考,pdf,quiz6,大三以上選修/自動控制/吳炳飛/2020_Fall/quiz6.pdf
自動控制,吳炳飛,109學年,小考,pdf,quiz7,大三以上選修/自動控制/吳炳飛/2020_Fall/quiz7.pdf
自動控制,吳炳飛,109學年,小考,pdf,quiz8,大三以上選修/自動控制/吳炳飛/2020_Fall/quiz8.pdf
自動控制,吳炳飛,109學年,小考,pdf,quiz9,大三以上選修/自動控制/吳炳飛/2020_Fall/quiz9.pdf
自動控制,吳炳飛,109學年,小考,pdf,quiz10,大三以上選修/自動控制/吳炳飛/2020_Fall/quiz10.pdf
固態電子學,李義明,101學年,期中考,pdf,midterm,大三以上選修/固態電子學/李義明/exam/midterm/2012.pdf
固態電子學,李義明,104學年,期中考,pdf,midterm,大三以上選修/固態電子學/李義明/exam/midterm/2015.pdf
固態電子學,李義明,99學年,期末考,pdf,final,大三以上選修/固態電子學/李義明/exam/final/2010final.pdf
固態電子學,李義明,101學年,期末考,pdf,final,大三以上選修/固態電子學/李義明/exam/final/2012final.pdf
固態電子學,李義明,104學年,期末考,pdf,final,大三以上選修/固態電子學/李義明/exam/final/2015final.pdf
固態電子學,李義明,未知,上機,zip,lab1,大三以上選修/固態電子學/李義明/lab/lab1.zip
固態電子學,李義明,未知,上機,zip,lab2,大三以上選修/固態電子學/李義明/lab/lab2.zip
固態電子學,李義明,未知,上機,zip,lab3,大三以上選修/固態電子學/李義明/lab/lab3.zip
固態電子學,李義明,未知,上機,zip,midterm_bonus,大三以上選修/固態電子學/李義明/lab/midterm_bonus.zip
固態電子學,李義明,未知,上機,zip,final_bonus,大三以上選修/固態電子學/李義明/lab/final_bonus.zip
固態電子學,李義明,107學年,小考,pdf,quiz1_sol,大三以上選修/固態電子學/李義明/quiz_sol/2018_quiz1_sol.pdf
計算機組織,劉志尉,105學年,期中考,zip,midterm,大三以上選修/計算機組織/劉志尉/2016/midterm.zip
計算機組織,劉志尉,109學年,期中考,zip,midterm,大三以上選修/計算機組織/劉志尉/2020/midterm.zip
計算機組織,賴伯承,109學年,期中考,zip,midterm,大三以上選修/計算機組織/賴伯承/考古/2020_midterm.zip
計算機組織,賴伯承,未知,作業,pdf,homework2,大三以上選修/計算機組織/賴伯承/作業/hw2.pdf
計算機組織,賴伯承,未知,作業,docx,homework2_sol,大三以上選修/計算機組織/賴伯承/作業/hw2-ans.docx
計算機組織,賴伯承,未知,作業,docx,homework4,大三以上選修/計算機組織/賴伯承/作業/hw4.docx
計算機組織,賴伯承,未知,作業,docx,homework4_sol,大三以上選修/計算機組織/賴伯承/作業/hw4-ans.docx
計算機組織,未知,108學年,小考,zip,exam1,大三以上選修/計算機組織/Unknown/2019/exam1.zip
計算機組織,未知,108學年,小考,zip,exam2,大三以上選修/計算機組織/Unknown/2019/exam2.zip
計算機組織,未知,108學年,小考,zip,exam3,大三以上選修/計算機組織/Unknown/2019/exam3.zip
計算機組織,未知,108學年,期中考,zip,midterm1,大三以上選修/計算機組織/Unknown/spring2019/midterm1.zip
計算機組織,未知,108學年,期中考,zip,midterm2,大三以上選修/計算機組織/Unknown/spring2019/midterm2.zip
計算機網路概論,陳志成,110學年,小考,zip,exam1,大三以上選修/計算機網路概論/陳志成/exam1.zip
計算機網路概論,陳志成,110學年,小考,zip,exam2,大三以上選修/計算機網路概論/陳志成/exam2.zip
計算機網路概論,陳志成,110學年,小考,zip,exam3,大三以上選修/計算機網路概論/陳志成/exam3.zip
計算機網路概論,陳志成,110學年,小考,zip,exam4,大三以上選修/計算機網路概論/陳志成/exam4.zip
射頻電路原理與實驗,紀佩綾,99學年,期末考,zip,final,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻電路實驗/考古/99.zip
射頻電路原理與實驗,紀佩綾,100學年,期末考,zip,final,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻電路實驗/考古/100.zip
射頻電路原理與實驗,紀佩綾,101學年,期末考,zip,final,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻電路實驗/考古/101.zip
射頻電路原理與實驗,紀佩綾,102學年,期末考,zip,final,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻電路實驗/考古/102.zip
射頻電路原理與實驗,紀佩綾,103學年,期末考,zip,final,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻電路實驗/考古/1022.zip
射頻電路原理與實驗,紀佩綾,105學年,實驗,docx,lab1結報,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻電路實驗/lab1/LAB1結報.docx
射頻電路原理與實驗,紀佩綾,105學年,實驗,docx,lab2結報,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻電路實驗/lab2/LAB2-LPF.docx
射頻電路原理與實驗,紀佩綾,未知,講義,pdf,Introduction,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻實驗1-Introduction.pdf
射頻電路原理與實驗,紀佩綾,未知,講義,pdf,LPF,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻實驗2-LPF.pdf
射頻電路原理與實驗,紀佩綾,未知,講義,pdf,Antenna,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻實驗3-Antenna.pdf
射頻電路原理與實驗,紀佩綾,未知,講義,pdf,Mixer,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻實驗4-Mixer.pdf
