年級,科目,教授,年份,類別,名稱,路徑
大三以上,自動控制,吳炳飛,106學年,期末考,final,大三以上選修/自動控制/吳炳飛/2017_Fall/final.zip
大三以上,自動控制,吳炳飛,109學年,期中考,midterm,大三以上選修/自動控制/吳炳飛/2020_Fall/midterm/自動控制_吳炳飛_2020F_MID.pdf
大三以上,自動控制,吳炳飛,109學年,期中考,midterm_sol,大三以上選修/自動控制/吳炳飛/2020_Fall/midterm/Midterm-Solution.pdf
大三以上,自動控制,吳炳飛,109學年,期末考,final,大三以上選修/自動控制/吳炳飛/2020_Fall/final/自動控制_吳炳飛_2020F_FINAL.pdf
大三以上,自動控制,吳炳飛,109學年,作業,homework1,大三以上選修/自動控制/吳炳飛/2020_Fall/1.pdf
大三以上,自動控制,吳炳飛,109學年,作業,homework2,大三以上選修/自動控制/吳炳飛/2020_Fall/2.pdf
大三以上,自動控制,吳炳飛,109學年,作業,homework3,大三以上選修/自動控制/吳炳飛/2020_Fall/3.pdf
大三以上,自動控制,吳炳飛,109學年,作業,homework4,大三以上選修/自動控制/吳炳飛/2020_Fall/4.pdf
大三以上,自動控制,吳炳飛,109學年,作業,homework5,大三以上選修/自動控制/吳炳飛/2020_Fall/5.pdf
大三以上,自動控制,吳炳飛,109學年,作業,homework1_ans,大三以上選修/自動控制/吳炳飛/2020_Fall/1-ans.pdf
大三以上,自動控制,吳炳飛,109學年,作業,homework2_ans,大三以上選修/自動控制/吳炳飛/2020_Fall/2-ans.pdf
大三以上,自動控制,吳炳飛,109學年,作業,homework3_ans,大三以上選修/自動控制/吳炳飛/2020_Fall/3-ans.pdf
大三以上,自動控制,吳炳飛,109學年,作業,homework4_ans,大三以上選修/自動控制/吳炳飛/2020_Fall/4-ans.pdf
大三以上,自動控制,吳炳飛,109學年,小考,quiz1,大三以上選修/自動控制/吳炳飛/2020_Fall/quiz1.pdf
大三以上,自動控制,吳炳飛,109學年,小考,quiz2,大三以上選修/自動控制/吳炳飛/2020_Fall/quiz2.pdf
大三以上,自動控制,吳炳飛,109學年,小考,quiz3,大三以上選修/自動控制/吳炳飛/2020_Fall/quiz3.pdf
大三以上,自動控制,吳炳飛,109學年,小考,quiz4,大三以上選修/自動控制/吳炳飛/2020_Fall/quiz4.pdf
大三以上,自動控制,吳炳飛,109學年,小考,quiz5,大三以上選修/自動控制/吳炳飛/2020_Fall/quiz5.pdf
大三以上,自動控制,吳炳飛,109學年,小考,quiz6,大三以上選修/自動控制/吳炳飛/2020_Fall/quiz6.pdf
大三以上,自動控制,吳炳飛,109學年,小考,quiz7,大三以上選修/自動控制/吳炳飛/2020_Fall/quiz7.pdf
大三以上,自動控制,吳炳飛,109學年,小考,quiz8,大三以上選修/自動控制/吳炳飛/2020_Fall/quiz8.pdf
大三以上,自動控制,吳炳飛,109學年,小考,quiz9,大三以上選修/自動控制/吳炳飛/2020_Fall/quiz9.pdf
大三以上,自動控制,吳炳飛,109學年,小考,quiz10,大三以上選修/自動控制/吳炳飛/2020_Fall/quiz10.pdf
大三以上,固態電子學,李義明,101學年,期中考,midterm,大三以上選修/固態電子學/李義明/exam/midterm/2012.pdf
大三以上,固態電子學,李義明,104學年,期中考,midterm,大三以上選修/固態電子學/李義明/exam/midterm/2015.pdf
大三以上,固態電子學,李義明,99學年,期末考,final,大三以上選修/固態電子學/李義明/exam/final/2010final.pdf
大三以上,固態電子學,李義明,101學年,期末考,final,大三以上選修/固態電子學/李義明/exam/final/2012final.pdf
大三以上,固態電子學,李義明,104學年,期末考,final,大三以上選修/固態電子學/李義明/exam/final/2015final.pdf
大三以上,固態電子學,李義明,nan,上機,lab1,大三以上選修/固態電子學/李義明/lab/lab1.zip
大三以上,固態電子學,李義明,nan,上機,lab2,大三以上選修/固態電子學/李義明/lab/lab2.zip
大三以上,固態電子學,李義明,nan,上機,lab3,大三以上選修/固態電子學/李義明/lab/lab3.zip
大三以上,固態電子學,李義明,nan,上機,midterm_bonus,大三以上選修/固態電子學/李義明/lab/midterm_bonus.zip
大三以上,固態電子學,李義明,nan,上機,final_bonus,大三以上選修/固態電子學/李義明/lab/final_bonus.zip
